comune,localita,date,area_ha
LERCARA FRIDDI,Contrada Todaro,2025-07-15,16.5506
PALERMO,Parco Della Favorita,2023-10-05,16.5228
MONREALE,Valle Taio,2023-07-24,16.5045
ALTOFONTE,Valle Del Fico,2020-09-18,16.497
LASCARI,ROCCA DI CORVO,2022-08-07,16.4721
BLUFI,Malpasso,2024-07-26,16.2973
MONREALE,Lago Poma,2023-08-27,16.229
TERRASINI,Paternella,2024-06-08,16.1582
CONTESSA ENTELLINA,Sommacco,,16.1112
GIARDINELLO,Oliveto,2022-09-10,16.09
PALAZZO ADRIANO,Rocca Della Ferita,2023-08-06,16.0734
ALTOFONTE,Valle Femmina Morta,2022-09-23,16.0636
COLLESANO,Contrada Gargi Di Cenere,,16.0593
TERMINI IMERESE,Cava Buttitta,2022-08-18,16.0528
BOLOGNETTA,Cozzo Catalano,2020-07-24,15.5799
MONREALE,Miccini,2022-08-05,15.5762
TERMINI IMERESE,Rovine Di Himera,2021-07-06,15.5684
SCIARA,Canale Manfrè,2020-07-27,15.5032
CIMINNA,Il Pizzo,2020-08-21,15.2503
MONTELEPRE,Suvarelli,,15.1323
MEZZOJUSO,Contrada La Lacca,2024-07-25,15.0266
CALTAVUTURO,C. S. Bartolo,2022-08-18,15.0035
SCLAFANI BAGNI,Casa Coscacino,,14.9541
CACCAMO,Contrada S. Nicola,2022-06-27,14.9469
CINISI,Gifina,2020-06-19,14.926
PALAZZO ADRIANO,Contrada Gebbia,2020-07-24,14.8801
PRIZZI,Contrada Martino,2022-08-17,14.8712
CIMINNA,Contrada S. Caterina,2020-09-21,14.8339
MONREALE,Santuario di Tagliavia,2022-09-02,14.8147
PALERMO,Capo Gallo,,14.779
SAN MAURO CASTELVERDE,Contrada Ciambra,2021-08-06,14.6372
TERMINI IMERESE,Termini Imerese,2022-08-19,14.6304
MONREALE,Lago Poma,2024-08-26,14.4976
MARINEO,Costa Marcione,,14.3847
CACCAMO,Roxiura,2025-08-04,14.3525
BAGHERIA,Monte Catalfano,2020-06-22,14.2566
ALIA,Portella Calcare,2023-07-19,14.251
ALTOFONTE,La Moarda,2025-08-09,14.247
BELMONTE MEZZAGNO,Finocchiara,2020-05-18,14.148
CACCAMO,Manche di Caccamo,2023-09-12,14.1245
MEZZOJUSO,"Petrosa ,",2023-10-15,14.1076
MONREALE,Valle Lupa,2022-09-09,14.1003
VILLAFRATI,Pizzo Chiarastella,2021-06-30,13.896
ALTOFONTE,Valle Femmina Morta,2022-07-15,13.7197
COLLESANO,Contrada Gargi Di Cenere,2023-09-04,13.6593
BAUCINA,Pizzo Dell' Aquila,2021-06-10,13.6352
COLLESANO,Casa Basalaci,2021-08-04,13.6338
TERMINI IMERESE,Monte San Calogero,2023-09-20,13.4093
ALTOFONTE,Valle Di Rebuttone,2022-09-16,13.3852
PALERMO,poggio ridente,2021-05-17,13.3644
MISILMERI,Costa Scalia,2018-09-01,13.356
CARINI,Monte Saraceno,2024-01-05,13.3327
MEZZOJUSO,Contrada Scorciavacca,2024-07-01,13.3069
PRIZZI,Contrada Grimaldi,2025-07-11,13.2825
ALTOFONTE,Montagna Di Rebuttone,,13.272
ALTOFONTE,BALZO ROSSO,2020-05-05,13.2606
SANTA CRISTINA GELA,Cicirata,2023-08-21,13.2325
ALTOFONTE,Valle Tre Timponi,,13.2318
CORLEONE,C.Giardinello,2025-08-31,13.1945
MONREALE,Contrada Dammusi,2025-09-06,13.1672
MISILMERI,Case Greco,,13.1502
CHIUSA SCLAFANI,"Monte Peloso,",2023-10-10,13.1049
PIANA DEGLI ALBANESI,Casalotto,2024-07-09,13.0417
PALERMO,Manche di Bellolampo,2022-08-18,12.9462
CHIUSA SCLAFANI,Chiusa Sclafani,2025-08-30,12.9411
CINISI,piano margi,2018-07-19,12.926
CAPACI,Quarara,2022-08-01,12.8599
TORRETTA,"Sopra Ogliastro , Torretta (PA)",2022-08-07,12.8515
MONTEMAGGIORE BELSITO,Bevaio Battaglia,2018-07-14,12.8391
BOLOGNETTA,COZZO SCOZZARI,2022-08-04,12.828
PALERMO,Monte Pellegrino,2023-08-15,12.8136
MONREALE,Contrada Giancaldara,2024-08-16,12.7701
MONREALE,Miccini,2023-09-20,12.7059
PRIZZI,Filaga,2025-08-10,12.6573
MONREALE,lago Poma,2025-06-10,12.6428
VALLEDOLMO,Sampieri,2025-08-20,12.6341
PRIZZI,Contrada Martino,2022-08-16,12.6005
PALERMO,Monte Pellegrino,2021-05-23,12.5744
TERMINI IMERESE,Rovine Di Himera,2021-07-21,12.5664
MARINEO,Costa Marcione,2025-08-20,12.5432
PARTINICO,Fiume Jato c.dra Monacaddi,2022-08-19,12.4913
MARINEO,Suvarita,2023-10-11,12.4231
MONREALE,Cerasa,2021-07-29,12.39
SANTA CRISTINA GELA,Pianetto,,12.3308
CHIUSA SCLAFANI,Piano Cardone,2025-06-24,12.2275
MISILMERI,Montagna Grande,2020-07-26,12.1521
ALTAVILLA MILICIA,Monte S. Michele,2024-04-22,12.1285
TERMINI IMERESE,Cozzo Dell' Imperatore,,12.0449
CASTELBUONO,Contrada S. Elia,2022-12-10,12.0262
PALERMO,Monte Grifone,2018-04-26,12.0081
MONREALE,Cozzo Paparina,2018-07-14,11.8843
SAN MAURO CASTELVERDE,Contrada Altopiano,2023-09-21,11.8415
TERMINI IMERESE,Cava Buttitta,2023-09-20,11.8371
SANTA CRISTINA GELA,Pietra Del Corvo,2025-09-08,11.8226
BISACQUINO,Triona,2022-06-17,11.7582
